Date,WE_O3,AE_O3,WE_NO2,AE_NO2,Temp,RelHum,RefSt_O3
2023-06-04 00:00:00,455.58,451.83,449.58,445.33,21.47,69.58,54
2023-06-04 01:00:00,452.92,452.75,448.75,446.25,21.17,71.98,64
2023-06-04 02:00:00,453.5,452.58,444.92,447,21.03,71.65,56
2023-06-04 03:00:00,450.75,452.25,437.58,446.5,21.1,70.75,43
2023-06-04 04:00:00,448.58,451.5,433.33,445.5,20.79,69.68,34
2023-06-04 05:00:00,448.42,452.67,434.58,447.17,19.89,71.44,38
2023-06-04 06:00:00,448.58,453.08,438.58,447.42,19.4,72.17,44
2023-06-04 07:00:00,448.92,453.58,437.58,448.33,19.52,72.33,42
2023-06-04 08:00:00,446.42,453,433.33,447.83,20.42,72.26,51
2023-06-04 09:00:00,439.67,453.25,429.08,447.58,23.26,68.47,70
2023-06-04 10:00:00,434.92,447.42,422.58,440.92,26.04,58.89,79
2023-06-04 11:00:00,438.33,447.92,433.58,440.75,25.84,60.14,93
2023-06-04 12:00:00,430.5,446,420.33,437.75,27.85,54.88,94
2023-06-04 13:00:00,428.42,441.58,415.25,432.75,28.12,53.39,94
2023-06-04 14:00:00,433.33,442.17,416.75,431.58,28.24,54.08,91
2023-06-04 15:00:00,442.58,440.25,439.75,429.92,26.47,54.4,99
2023-06-04 16:00:00,447.67,446,452.08,437.58,24.81,58.66,95
2023-06-04 17:00:00,448.42,448.75,454.75,442.33,23.82,61.47,102
2023-06-04 18:00:00,446.92,445.58,441.75,437.67,24.85,59.87,77
2023-06-04 19:00:00,450.42,447.58,451.75,441.25,23.5,61.77,88
2023-06-04 20:00:00,452.33,448.67,453.08,442.08,22.99,63.93,77
2023-06-04 21:00:00,456.17,449.5,449.75,444.5,22.77,65.18,56
2023-06-04 22:00:00,454.75,450.42,447.83,445.25,22.1,65.41,57
2023-06-04 23:00:00,452.33,451.42,448.17,445.58,21.45,66.68,70
2023-06-05 00:00:00,450.25,451.58,447.25,446.5,21.1,67.34,77
2023-06-05 01:00:00,450.5,451.83,446,447.17,20.63,68.32,73
2023-06-05 02:00:00,449.17,452,444.67,446.33,20.34,68.43,70
2023-06-05 03:00:00,448.42,452,438.58,447.08,20.1,68.46,60
2023-06-05 04:00:00,450.17,451.83,437.67,446.83,19.93,67.88,49
2023-06-05 05:00:00,452.75,452.5,439.67,446.92,19.42,68.9,45
2023-06-05 06:00:00,450.75,453,443.08,447.33,19.24,70.07,59
2023-06-05 07:00:00,450.25,453.58,439.17,447.83,19.74,71.22,49
2023-06-05 08:00:00,451.08,452.75,437.25,446.42,20.72,70.87,40
2023-06-05 09:00:00,450,453.33,429.67,448,23.69,67.42,26
2023-06-05 10:00:00,440.67,446,410,439.67,29.07,55.7,20
2023-06-05 11:00:00,443.17,443.75,418.25,436.83,29.58,50.64,37
2023-06-05 12:00:00,442.58,442.5,423.17,433.58,29.55,48.26,57
2023-06-05 13:00:00,432.5,441.67,424.17,432,29.02,49.81,94
2023-06-05 14:00:00,426.58,439.67,411.58,430.58,30.36,49.57,102
2023-06-05 15:00:00,429.12,439.62,417.29,430.04,30.46,49.06,98
2023-06-05 16:00:00,431.67,439.58,423,429.5,30.56,48.55,94
2023-06-05 17:00:00,440.58,440.17,434.75,428.25,29.69,49.15,87
2023-06-05 18:00:00,441.25,442.58,437.33,431.25,28.92,50.65,86
2023-06-05 19:00:00,446.75,443.67,448.42,434.67,27.22,51.44,84
2023-06-05 20:00:00,450.83,446.58,452.83,439.5,25.42,54.58,78
2023-06-05 21:00:00,452.5,448.08,456.08,441.83,23.95,57.65,77
2023-06-05 22:00:00,449.17,449.17,446.42,443.5,23.47,58.6,74
2023-06-05 23:00:00,445.17,449.08,443.67,443.33,23.16,58.23,80
2023-06-07 00:00:00,450.92,451.33,454.42,446.17,22.94,61.91,88
2023-06-07 01:00:00,449.08,451.83,450,446.67,22.72,62.61,87
2023-06-07 02:00:00,449.83,452.17,447.42,447,21.95,63.34,80
2023-06-07 03:00:00,449.67,453.08,446.25,446.83,21.6,63.23,78
2023-06-07 04:00:00,448.25,452.33,444.92,446.42,21.64,63.31,83
2023-06-07 05:00:00,450.58,452.83,446.75,447.42,20.98,64.73,83
2023-06-07 06:00:00,450.58,453.33,447.25,447.75,20.75,65.5,78
2023-06-07 07:00:00,450.33,453.58,448.08,447.83,21.24,66.11,85
2023-06-07 08:00:00,451.58,452.58,446.42,448.08,22.34,66.1,75
2023-06-07 09:00:00,451.5,450.83,440,445.5,23.3,64.6,51
2023-06-07 10:00:00,454.08,450.75,440.58,445,24.54,63.59,46
2023-06-07 11:00:00,445.33,449.67,425.92,443.42,27.21,59.22,51
2023-06-07 12:00:00,440.67,443.92,422.67,436.5,28.5,52.66,64
2023-06-07 13:00:00,440,444.83,424.5,436.92,28.23,54.51,67
2023-06-07 14:00:00,441.17,443.67,422.83,433.5,28.57,54.37,62
2023-06-07 15:00:00,443.17,444.08,428.58,433.25,28.83,53.91,68
2023-06-07 16:00:00,439.5,442.67,425.5,432.58,28.91,52.3,69
2023-06-07 17:00:00,445.17,444.5,435.08,435.25,27.85,53.53,58
2023-06-07 18:00:00,447.08,444.67,436.5,437,27.39,54.31,61
2023-06-07 19:00:00,448.5,446.17,441,438.92,26.29,55.48,63
2023-06-07 20:00:00,448.83,446.83,443.67,440.58,25.34,57.41,68
2023-06-07 21:00:00,448.67,448.5,442.83,442.08,24.33,58.99,66
2023-06-07 22:00:00,448.33,448.58,441.08,442.67,23.81,59.75,61
2023-06-07 23:00:00,447.75,449.25,438.58,444.08,23.35,61.24,57
2023-06-09 00:00:00,452.42,451.75,441.5,447.08,23.15,63.26,46
2023-06-09 01:00:00,455.5,451.67,443.33,446.83,23.14,64.26,30
2023-06-09 02:00:00,452.83,451.67,440.58,447.17,23.09,66.61,38
2023-06-09 03:00:00,455.17,451.92,440.33,447.25,23.1,67.07,31
2023-06-09 04:00:00,449.25,452.08,439,446.83,23.12,67.3,56
2023-06-09 05:00:00,448.42,451.17,437.25,446.33,22.98,67.46,54
2023-06-09 06:00:00,451.67,451.83,438.33,447.58,22.88,68.76,37
2023-06-09 07:00:00,458.5,452.5,442.83,447.92,22.99,70.21,26
2023-06-09 08:00:00,452.58,451.83,439.08,447,23.3,70,41
2023-06-09 09:00:00,447.25,451.67,430.08,446.33,23.92,67.93,45
2023-06-09 10:00:00,432,449.75,415.08,443.17,27.67,61.17,70
2023-06-09 11:00:00,435.25,444.17,418.58,436.67,28.83,56.14,75
2023-06-09 12:00:00,435.58,444.42,420.83,435.92,30.04,54.68,73
2023-06-09 13:00:00,432.58,441.5,418.58,432.72,30.9,52.55,77
2023-06-09 14:00:00,429.58,438.59,416.33,429.53,31.75,50.41,81
2023-06-09 15:00:00,426.58,435.67,414.08,426.33,32.61,48.28,85
2023-06-09 16:00:00,431.83,436.92,423.83,428.08,32.6,48.59,83
2023-06-09 17:00:00,440.17,439.17,437.83,428.83,31.4,50.16,83
2023-06-09 18:00:00,440.33,441.83,436.5,432.67,31.01,52.58,79
2023-06-09 19:00:00,443.92,442.5,442.08,431.67,29.83,51.07,81
2023-06-09 20:00:00,452.33,446.17,457.08,438.08,27.67,55.23,80
2023-06-09 21:00:00,452.17,448.17,456.83,441.5,26.06,58.66,81
2023-06-09 22:00:00,454.67,449.67,456.92,443.33,24.95,61.41,76
2023-06-09 23:00:00,452.25,451.08,449.67,444.75,23.8,63.02,65
2023-06-10 00:00:00,450.83,450.67,440,444.67,23.73,62.72,49
2023-06-10 01:00:00,446.67,450.42,435.83,443.5,23.78,62.52,59
2023-06-10 02:00:00,446.33,450.08,434.67,444,23.7,62.72,52
