Date;BC;N_CPC;PM-10;PM-2.5;PM-1.0;NO2;O3;SO2;CO;NO;NOX;TEMP;HUM
1/1/19 0:00;3.445;17.773;13.033;11.767;11.05;18.0;41.0;1.0;0.2;4.0;23.0;12.14;53.78
1/1/19 1:00;5.162;24.62;17.05;15.533;14.783;62.0;1.0;1.0;0.2;22.0;96.0;11.683;55.1
1/1/19 2:00;2.951;17.7;11.417;10.367;9.85;68.0;1.0;1.0;0.2;42.0;132.0;11.683;53.433
1/1/19 3:00;1.917;12.212;7.75;7.1;6.683;75.0;1.0;1.0;0.2;66.0;176.0;11.367;54.533
1/1/19 4:00;2.462;11.178;8.317;7.65;7.167;63.0;1.0;1.0;0.2;27.0;103.0;10.867;57.85
1/1/19 5:00;3.926;9.16;13.167;12.15;11.483;50.0;4.0;1.0;0.2;6.0;59.0;11.617;68.8
1/1/19 6:00;2.562;9.879;12.833;11.633;10.917;47.0;4.0;1.0;0.2;5.0;56.0;11.75;78.55
1/1/19 7:00;1.698;8.633;11.6;10.0;8.95;37.0;9.0;1.0;0.2;3.0;41.0;11.683;84.667
1/1/19 8:00;1.55;11.08;9.65;8.433;7.55;36.0;9.0;1.0;0.2;3.0;40.0;12.75;80.783
1/1/19 9:00;0.921;9.923;8.933;7.133;6.067;29.0;12.0;1.0;0.2;5.0;37.0;14.467;78.217
1/1/19 10:00;0.715;7.85;8.333;6.683;5.583;28.0;15.0;1.0;0.2;8.0;41.0;14.783;80.067
1/1/19 11:00;0.645;6.256;7.75;6.2;5.2;16.0;38.0;1.0;0.2;3.0;21.0;16.167;77.183
1/1/19 12:00;0.845;10.486;9.6;7.533;6.283;11.0;45.0;1.0;0.2;2.0;14.0;16.45;75.65
1/1/19 13:00;0.905;11.204;8.683;6.933;5.667;9.0;53.0;1.0;0.2;2.0;12.0;15.867;79.067
1/1/19 14:00;0.644;8.917;8.1;6.25;4.667;19.0;49.0;1.0;0.2;4.0;26.0;15.483;83.45
1/1/19 15:00;0.637;8.859;7.517;5.833;4.333;23.0;47.0;1.0;0.2;4.0;29.0;14.9;85.533
1/1/19 16:00;0.971;11.624;7.267;5.783;4.333;13.0;50.0;1.0;0.2;2.0;16.0;14.317;87.767
1/1/19 17:00;1.604;21.871;7.65;6.55;5.283;12.0;50.0;1.0;0.2;1.0;14.0;13.883;89.25
1/1/19 18:00;2.671;33.763;8.933;7.933;6.65;15.0;47.0;1.0;0.2;1.0;16.0;13.367;91.733
1/1/19 19:00;1.881;19.034;9.467;8.35;6.983;40.0;20.0;1.0;0.2;2.0;43.0;13.117;93.5
1/1/19 20:00;0.999;11.577;9.867;8.883;8.0;53.0;8.0;1.0;0.2;7.0;64.0;12.617;82.967
1/1/19 21:00;0.524;9.294;7.65;7.083;6.583;37.0;18.0;1.0;0.2;4.0;43.0;12.05;74.467
1/1/19 22:00;0.835;10.234;7.267;6.617;6.233;20.0;35.0;1.0;0.2;2.0;24.0;11.25;66.1
1/1/19 23:00;0.797;11.325;8.2;7.6;7.217;11.0;46.0;1.0;0.2;1.0;11.0;9.783;69.983
2/1/19 0:00;2.956;16.637;16.033;11.733;9.65;80.0;1.0;1.0;1.1;79.0;201.0;13.8;78.0
2/1/19 1:00;1.02;9.645;9.517;7.0;5.35;75.0;1.0;2.0;1.2;75.0;190.0;14.317;76.067
2/1/19 2:00;0.437;4.707;6.2;4.483;2.983;62.0;3.0;1.0;0.9;38.0;119.0;15.483;75.867
2/1/19 3:00;0.726;5.124;7.467;5.317;4.083;28.0;26.0;1.0;0.5;1.0;30.0;15.9;72.983
2/1/19 4:00;0.312;6.979;9.217;5.167;3.55;9.0;43.0;1.0;0.4;1.0;10.0;15.95;73.383
2/1/19 5:00;0.462;11.667;6.25;4.417;2.467;9.0;44.0;1.0;0.4;1.0;10.0;15.5;79.467
2/1/19 6:00;0.837;15.389;6.033;4.167;1.95;12.0;45.0;1.0;0.5;1.0;13.0;15.633;78.267
2/1/19 7:00;1.273;20.813;9.25;6.25;3.067;17.0;41.0;1.0;0.4;2.0;20.0;15.233;83.4
2/1/19 8:00;0.707;14.495;5.85;4.167;2.25;31.0;33.0;1.0;0.4;4.0;36.0;14.4;83.967
2/1/19 9:00;0.502;9.705;1.783;1.65;1.4;45.0;22.0;1.0;0.4;7.0;56.0;12.933;86.267
2/1/19 10:00;0.511;12.491;2.117;1.8;1.567;26.0;39.0;1.0;0.4;4.0;33.0;13.333;77.883
2/1/19 11:00;0.949;31.427;4.233;2.417;1.85;17.0;45.0;1.0;0.4;3.0;21.0;14.917;68.85
2/1/19 12:00;0.998;41.72;9.067;3.85;2.417;17.0;48.0;1.0;0.4;4.0;24.0;15.9;70.667
2/1/19 13:00;1.056;35.476;9.65;4.033;2.5;25.0;44.0;2.0;0.4;7.0;35.0;16.667;69.15
2/1/19 14:00;0.714;22.772;4.55;2.4;1.683;26.0;43.0;2.0;0.4;7.0;37.0;16.417;49.317
2/1/19 15:00;1.046;18.528;5.25;2.383;1.6;27.0;47.0;2.0;0.3;5.0;35.0;16.4;47.8
2/1/19 16:00;1.299;20.284;12.6;4.25;2.083;19.0;60.0;2.0;0.5;3.0;24.0;15.383;62.35
2/1/19 17:00;2.387;28.009;13.467;5.383;3.117;35.0;46.0;1.0;0.6;5.0;42.0;14.25;67.283
2/1/19 18:00;4.294;38.44;12.167;7.483;5.217;41.0;45.0;1.0;0.5;4.0;46.0;13.517;69.3
2/1/19 19:00;3.43;38.959;14.067;9.433;5.967;76.0;13.0;1.0;0.7;9.0;89.0;12.95;72.783
2/1/19 20:00;1.633;26.788;7.633;5.4;3.65;98.0;1.0;1.0;0.9;41.0;161.0;12.933;69.417
2/1/19 21:00;0.961;14.572;5.833;3.617;2.617;93.0;2.0;1.0;0.8;31.0;141.0;12.85;65.833
2/1/19 22:00;0.363;5.775;3.233;1.467;0.917;56.0;26.0;1.0;0.6;7.0;67.0;9.083;82.867
2/1/19 23:00;0.247;6.186;0.6;0.5;0.35;26.0;46.0;1.0;0.6;2.0;29.0;9.35;73.25
3/1/19 0:00;3.68;17.749;35.583;29.267;26.133;107.0;1.0;2.0;0.7;88.0;241.0;13.333;85.333
3/1/19 1:00;3.679;14.967;33.033;27.267;24.383;97.0;1.0;2.0;0.7;59.0;187.0;12.95;88.45
3/1/19 2:00;4.916;14.371;36.333;30.617;27.533;84.0;2.0;1.0;0.4;11.0;100.0;12.75;90.633
3/1/19 3:00;7.043;17.216;44.183;37.467;33.85;79.0;1.0;1.0;0.5;27.0;120.0;12.3;91.517
3/1/19 4:00;3.614;12.178;33.25;26.5;23.567;83.0;1.0;2.0;0.6;40.0;144.0;12.2;83.883
3/1/19 5:00;5.1;19.216;33.067;27.633;25.267;85.0;1.0;2.0;0.7;98.0;235.0;11.817;85.733
3/1/19 6:00;1.342;10.046;22.7;16.733;14.433;66.0;9.0;2.0;0.4;30.0;111.0;12.367;73.883
3/1/19 7:00;1.738;18.626;32.617;18.433;15.617;71.0;6.0;2.0;0.5;76.0;186.0;13.633;67.383
3/1/19 8:00;1.456;11.726;34.267;21.117;18.117;25.0;46.0;1.0;0.2;4.0;30.0;15.517;64.05
3/1/19 9:00;4.29;19.254;51.183;32.333;28.183;44.0;31.0;1.0;0.3;12.0;62.0;16.833;63.333
3/1/19 10:00;4.349;23.521;59.7;34.833;29.883;27.0;45.0;3.0;0.2;5.0;34.0;17.0;62.233
3/1/19 11:00;2.116;24.43;48.217;25.517;20.75;75.0;27.0;4.0;0.3;41.0;137.0;17.0;65.817
3/1/19 12:00;1.663;20.069;37.967;24.233;20.2;89.0;22.0;5.0;0.4;47.0;160.0;17.183;69.783
3/1/19 13:00;1.279;14.775;37.2;23.25;19.1;47.0;52.0;4.0;0.2;11.0;65.0;16.7;75.4
3/1/19 14:00;1.233;17.517;29.85;21.683;17.817;27.0;71.0;3.0;0.3;3.0;32.0;16.167;79.367
3/1/19 15:00;1.132;22.934;27.817;20.95;17.2;17.0;80.0;2.0;0.5;2.0;20.0;15.633;80.8
3/1/19 16:00;1.352;25.229;29.617;21.867;17.783;19.0;78.0;2.0;0.4;2.0;22.0;15.667;81.367
3/1/19 17:00;1.549;22.358;30.3;22.733;18.733;21.0;77.0;2.0;0.4;1.0;22.0;14.833;84.6
3/1/19 18:00;2.091;20.432;32.717;25.883;21.683;29.0;70.0;1.0;0.5;1.0;31.0;14.183;88.483
3/1/19 19:00;2.822;21.973;38.2;30.567;26.133;35.0;63.0;1.0;0.5;1.0;36.0;14.05;89.367
3/1/19 20:00;3.703;28.832;42.383;35.517;31.383;54.0;40.0;1.0;0.5;1.0;56.0;13.25;91.967
3/1/19 21:00;4.12;27.153;43.15;35.95;31.617;76.0;23.0;1.0;0.6;4.0;82.0;12.883;93.45
3/1/19 22:00;2.301;13.733;39.75;33.733;28.883;84.0;7.0;1.0;0.7;9.0;98.0;13.083;95.0
3/1/19 23:00;1.533;11.438;36.833;30.883;26.35;91.0;3.0;1.0;0.8;21.0;123.0;13.217;94.533
4/1/19 0:00;0.765;5.116;15.667;11.617;9.65;14.0;68.0;1.0;0.2;1.0;16.0;13.667;69.8
4/1/19 1:00;0.788;6.451;14.833;11.583;9.767;10.0;70.0;1.0;0.2;1.0;17.0;13.333;69.317
